Minibatch,Avg Reward,Min Reward,Max Reward,Avg Episode Length,Min Episode Length,Max Episode Length
139,85.51675347222223,-16.197222222222223,270.0,174.03125,77,383
140,78.92690972222222,-16.333333333333332,282.06944444444446,168.71875,77,438
141,107.47734374999999,-15.730555555555556,317.65555555555557,204.125,77,383
142,120.41770833333334,-16.15833333333333,308.2083333333333,208.40625,77,438
143,69.75017361111111,-16.177777777777777,310.22777777777776,143.15625,77,383
144,84.44210069444445,-15.594444444444443,275.225,154.375,77,329
145,101.39348958333333,-16.31388888888889,303.475,181.96875,77,438
146,74.75434027777777,-16.294444444444444,367.85833333333335,154.375,77,438
147,72.76163194444445,-15.555555555555555,230.46944444444443,142.59375,77,276
148,86.88515625,-16.1,318.275,157.21875,77,383
149,84.73671875,-16.333333333333332,209.68333333333334,164.1875,77,383
150,52.73828125,-16.275,284.6638888888889,134.65625,77,383
151,48.73758680555555,-16.31388888888889,193.62777777777777,138.0625,77,329
152,52.58585069444444,-16.333333333333332,267.65555555555557,134.375,77,383
153,93.91128472222222,-15.866666666666667,337.5888888888889,164.78125,77,438
154,49.430902777777774,-16.275,278.7027777777778,127.34375,77,329
155,70.93732638888889,-16.333333333333332,320.6166666666667,143.9375,77,383
156,75.01076388888889,-16.177777777777777,266.84166666666664,141.96875,77,383
157,65.69340277777778,-15.866666666666667,288.5,138.65625,77,438
158,64.19105902777777,-16.022222222222222,374.46944444444443,144.84375,77,438
159,100.82309027777777,-16.23611111111111,244.225,181.375,77,438
160,110.33255208333333,-15.536111111111111,316.89166666666665,181.65625,77,383
161,88.19175347222222,-16.255555555555556,372.59722222222223,167.0625,77,438
162,86.76527777777778,-16.1,286.2972222222222,156.3125,77,383
163,92.20208333333332,-16.333333333333332,318.325,172.90625,77,383
164,85.53619791666667,-15.944444444444445,316.39166666666665,163.9375,77,438
165,52.26354166666666,-16.333333333333332,239.95833333333334,143.9375,77,383
166,115.7447048611111,-15.691666666666666,299.7916666666667,187.3125,77,383
167,51.73185763888889,-16.216666666666665,371.2527777777778,131.34375,77,438
168,57.72543402777777,-16.197222222222223,255.70277777777778,136.0625,77,329
169,87.93940972222222,-16.041666666666668,318.9194444444444,173.21875,77,383
170,59.99921875,-16.197222222222223,233.02777777777777,127.71875,77,275
171,68.18802083333333,-16.197222222222223,283.3666666666667,142.53125,77,383
172,94.54053819444445,-15.419444444444444,281.5833333333333,188.09375,77,383
173,91.76388888888889,20.89722222222222,201.7472222222222,173.5625,77,438
174,75.52161458333333,-16.119444444444444,267.925,139.4375,77,383
